start_node,finish_node,lengthm,speed,st_astext,road_type,last_updated
4633586422,308856792,51.5489051861389,43,"LINESTRING(32.8101565 39.9116213,32.8107343 39.9117573)",trunk,2019-05-14 00:26:23.599+00
29474311,226478511,294.885601874068,75,"LINESTRING(32.7316526 39.906424,32.7351079 39.9065111)",trunk,2019-05-13 23:02:30.546+00
2840163765,27046640,17.8676044745403,63,"LINESTRING(32.7841164 39.9086625,32.7839073 39.9086528)",trunk,2019-05-13 23:35:26.049+00
4790795163,288241819,240.16884897531,67,"LINESTRING(32.707932 39.905433,32.7107431 39.9055556)",trunk,2019-05-13 23:45:46.581+00
309701995,226169218,716.675095936681,76,"LINESTRING(32.6991933 39.9051517,32.7075881 39.905418)",trunk,2019-05-13 23:48:27.26+00
29431511,2355882612,155.681144433938,38,"LINESTRING(32.8012157 39.9095727,32.8029852 39.9099161)",trunk,2019-05-14 00:29:56.431+00
308857383,308856739,55.3497631039425,61,"LINESTRING(32.6441788 39.8712643,32.6446433 39.8716117)",trunk,2019-05-14 00:38:47.462+00
1914127281,112367690,97.4534873858081,94,"LINESTRING(32.354238 39.7244091,32.3553383 39.724637)",trunk,2019-05-14 00:03:57.868+00
27047878,1037720681,61.6336743155318,96,"LINESTRING(32.1638095 39.5846564,32.1631676 39.5844064)",trunk,2019-05-14 00:39:28.815+00
29474490,2970275057,1056.18790939389,85,"LINESTRING(32.344631 39.7228369,32.332623 39.7206194)",trunk,2019-05-14 00:39:29.419+00
112364342,112364447,437.980117718757,75,"LINESTRING(32.2340597 39.6742787,32.2368832 39.6775638)",trunk,2019-05-14 00:22:21.248+00
1995887128,662560927,110.38914514429,88,"LINESTRING(32.6007249 39.8512883,32.5999009 39.8505232)",trunk,2019-05-14 00:00:44.568+00
2189335624,2189335621,85.6734091774808,61,"LINESTRING(32.6526169 39.8773328,32.6518725 39.8768158)",trunk,2019-05-13 23:35:27.026+00
2389806685,2358235514,26.9993982777928,92,"LINESTRING(32.6892501 39.9011359,32.6890008 39.9009863)",trunk,2019-05-13 23:28:26.814+00
2360960876,2360960899,153.738666056261,88,"LINESTRING(32.6800966 39.8955412,32.6786805 39.8946861)",trunk,2019-05-13 22:52:54.021+00
112364092,112364342,924.200786312336,80,"LINESTRING(32.2281015 39.667347,32.2340597 39.6742787)",trunk,2019-05-13 23:20:32.581+00
112374346,112374465,526.654240188571,97,"LINESTRING(32.5920531 39.8425805,32.5958715 39.8463004)",trunk,2019-05-14 00:28:44.666+00
29474461,29474462,94.0699926893702,86,"LINESTRING(32.5787409 39.8294345,32.5780437 39.8287795)",trunk,2019-05-13 23:05:21.966+00
308856718,308856719,77.7375689751703,88,"LINESTRING(32.6360305 39.8657613,32.636755 39.866185)",trunk,2019-05-13 23:08:20.062+00
112369129,112369200,305.855778182167,96,"LINESTRING(32.4245081 39.7478055,32.4277814 39.7489155)",trunk,2019-05-13 23:33:34.821+00
112362290,112362355,544.911873823494,91,"LINESTRING(32.1872532 39.6159055,32.1899414 39.620347)",trunk,2019-05-14 00:28:25.516+00
493138412,27046673,65.5221673154363,84,"LINESTRING(32.6317127 39.8640688,32.6310265 39.8638046)",trunk,2019-05-14 00:43:06.118+00
309903619,1037719978,89.190035013739,68,"LINESTRING(32.1624028 39.5841081,32.161523 39.5836796)",trunk,2019-05-13 23:17:14.23+00
1037720681,1037720261,45.6843766557456,96,"LINESTRING(32.1631676 39.5844064,32.1626799 39.5842405)",trunk,2019-05-13 23:15:03.311+00
2971107460,1516644684,57.8627456172548,87,"LINESTRING(32.4548369 39.7582341,32.4542158 39.7580272)",trunk,2019-05-13 23:56:05.225+00
1054357410,2186093034,272.464994864021,56,"LINESTRING(32.1501702 39.5786493,32.1474162 39.5774252)",trunk,2019-05-13 23:38:31.201+00
112363133,112363264,415.730142553451,90,"LINESTRING(32.2090181 39.6451287,32.2116998 39.6482455)",trunk,2019-05-13 23:15:51.553+00
112366337,112366361,72.4309128931275,94,"LINESTRING(32.2966881 39.7137687,32.2974882 39.713982)",trunk,2019-05-13 23:45:44.101+00
29474511,27047874,719.75929903996,93,"LINESTRING(32.2009596 39.6361141,32.1963181 39.6307177)",trunk,2019-05-14 00:39:26.888+00
3439221827,27047871,383.08724622972,54,"LINESTRING(32.2441759 39.6839208,32.2408433 39.6816205)",trunk,2019-05-13 23:06:36.287+00
2410112725,29474468,314.282118676596,67,"LINESTRING(32.547894 39.8061519,32.5451709 39.8042513)",trunk,2019-05-13 23:55:41.105+00
1914127326,4150757722,875.74273555535,104,"LINESTRING(32.383744 39.7341552,32.3743777 39.7309703)",trunk,2019-05-14 00:13:35.888+00
2351271985,112365522,88.9337203523508,88,"LINESTRING(32.2690211 39.7006197,32.2698583 39.7010938)",trunk,2019-05-14 00:28:39.408+00
112370515,112370528,71.4934179248786,88,"LINESTRING(32.4772597 39.7641104,32.4780432 39.7643355)",trunk,2019-05-13 23:58:58.519+00
112363019,112363133,314.524511723025,91,"LINESTRING(32.2069965 39.642767,32.2090181 39.6451287)",trunk,2019-04-30 12:24:53.842+00
112366361,3439221771,32.2878129427814,84,"LINESTRING(32.2974882 39.713982,32.2978487 39.7140681)",trunk,2019-05-13 23:57:14.573+00
2970275057,29474491,124.278710506826,79,"LINESTRING(32.332623 39.7206194,32.3312101 39.7203584)",trunk,2019-05-13 23:39:52.422+00
112371852,112371998,571.757105997411,82,"LINESTRING(32.5274652 39.7918845,32.5325148 39.7952588)",trunk,2019-05-14 00:02:02.864+00
27047870,1696109062,581.745646780886,90,"LINESTRING(32.2581155 39.6935416,32.2530507 39.6900513)",trunk,2019-05-13 23:05:45.729+00
2342959133,2342959172,256.47279287372,64,"LINESTRING(32.6519132 39.8766415,32.6541433 39.8781878)",trunk,2019-05-13 22:41:58.849+00
2341574939,2840342490,60.1785586039128,64,"LINESTRING(32.7898459 39.9087451,32.7905489 39.908791)",trunk,2019-05-13 23:22:34.009+00
308843810,308843811,112.355510166815,57,"LINESTRING(32.1439933 39.575895,32.1428217 39.5754417)",trunk,2019-05-06 12:50:59.71+00
1421882183,27047878,119.130087409608,75,"LINESTRING(32.1649646 39.5852525,32.1638095 39.5846564)",trunk,2019-05-13 23:14:36.302+00
29474482,29474483,1020.01834546135,82,"LINESTRING(32.4419328 39.753891,32.4309942 39.7502272)",trunk,2019-05-14 00:00:52.389+00
112365434,4942039498,16.2655156391552,87,"LINESTRING(32.2675081 39.6997038,32.2676557 39.699796)",trunk,2019-05-14 00:09:54.932+00
112372550,112372638,259.745315840181,86,"LINESTRING(32.5504147 39.8075621,32.5526465 39.8091487)",trunk,2019-05-13 23:04:23.616+00
112367659,1914127281,37.9342391003375,88,"LINESTRING(32.3538097 39.7243204,32.354238 39.7244091)",trunk,2019-05-14 00:03:58.099+00
112367733,112367752,150.602533666373,88,"LINESTRING(32.3569214 39.7250155,32.3585657 39.7255003)",trunk,2019-05-14 00:03:58.088+00
4150757722,27047865,350.990170980083,75,"LINESTRING(32.3743777 39.7309703,32.3706239 39.7296938)",trunk,2019-05-14 00:13:33.716+00
112102295,29474289,13.2068964980286,58,"LINESTRING(32.665617 39.8864053,32.6655013 39.8863264)",trunk,2019-05-13 22:50:05.971+00
1421882238,27047877,133.203549276594,96,"LINESTRING(32.1696623 39.5886824,32.1686683 39.5877614)",trunk,2019-05-13 23:15:07.537+00
112362621,112362830,809.526527328011,93,"LINESTRING(32.1971898 39.6312805,32.2023699 39.6373704)",trunk,2019-05-13 23:14:45.517+00
1914126885,29474510,539.329847597425,72,"LINESTRING(32.2122937 39.649322,32.2088317 39.6452699)",trunk,2019-05-13 23:23:39.633+00
