segment_id,start_node,finish_node,lengthm,road_type,speed,st_astext
1160,112372936,2356121080,289.479806752708,trunk,91,"LINESTRING(32.5613715 39.8151871,32.5639012 39.8169197)"
1161,2356121080,112373083,262.451808061565,trunk,75,"LINESTRING(32.5639012 39.8169197,32.5661948 39.8184905)"
1162,112373083,2356211502,405.448864670814,trunk,76,"LINESTRING(32.5661948 39.8184905,32.569733 39.8209216)"
1163,2356211502,112373249,92.6384673817282,trunk,82,"LINESTRING(32.569733 39.8209216,32.5705414 39.8214771)"
1164,112373249,2356211495,10.8706046673476,trunk,91,"LINESTRING(32.5705414 39.8214771,32.5706336 39.8215445)"
1165,2356211495,112373282,118.424270977239,trunk,93,"LINESTRING(32.5706336 39.8215445,32.5716381 39.8222787)"
1166,112373282,112373311,130.810301578107,trunk,84,"LINESTRING(32.5716381 39.8222787,32.5726947 39.8231304)"
1167,112373311,112373350,132.220166601942,trunk,94,"LINESTRING(32.5726947 39.8231304,32.5737064 39.8240305)"
1168,112373350,1499966799,186.309826812947,trunk,50,"LINESTRING(32.5737064 39.8240305,32.5750309 39.8253619)"
1169,1499966799,112373653,615.02776378861,trunk,75,"LINESTRING(32.5750309 39.8253619,32.5794032 39.8297571)"
1170,112373653,1499966819,38.7273459949081,trunk,76,"LINESTRING(32.5794032 39.8297571,32.5796892 39.8300274)"
1171,1499966819,112373817,366.458610294415,trunk,77,"LINESTRING(32.5796892 39.8300274,32.5822816 39.8326538)"
1172,112373817,2204798470,264.274484593753,trunk,96,"LINESTRING(32.5822816 39.8326538,32.5841468 39.8345504)"
1173,2204798470,112374115,312.512610947736,trunk,80,"LINESTRING(32.5841468 39.8345504,32.5863525 39.8367932)"
1174,112374115,2204798520,140.520918553988,trunk,92,"LINESTRING(32.5863525 39.8367932,32.5873453 39.8378011)"
1175,2204798520,112374346,666.331531138926,trunk,86,"LINESTRING(32.5873453 39.8378011,32.5920531 39.8425805)"
1176,112374346,112374465,526.654240188571,trunk,97,"LINESTRING(32.5920531 39.8425805,32.5958715 39.8463004)"
1177,112374465,112374512,302.253456674338,trunk,74,"LINESTRING(32.5958715 39.8463004,32.5980265 39.8484571)"
1178,112374512,112374548,251.001622181296,trunk,98,"LINESTRING(32.5980265 39.8484571,32.5998514 39.850227)"
1179,112374548,112374563,134.78549494277,trunk,88,"LINESTRING(32.5998514 39.850227,32.6008715 39.8511522)"
1180,112374563,112374572,48.533480523785,trunk,79,"LINESTRING(32.6008715 39.8511522,32.6012712 39.8514626)"
