segment_id,start_node,end_node,given_length,road_type,speed,st_astext,startLat,startLon,endLat,endLon,dir,calc_length,distance_from_start
101,2389806676,2389806681,68.0797431170869,trunk,82,"LINESTRING(32.6925897 39.9031353,32.6919704 39.9027491)",39.9031353,32.6925897,39.9027491,32.6919704,1,68.0838486266109,13509.266617604
102,2389806681,2389806679,53.2376152318579,trunk,86,"LINESTRING(32.6919704 39.9027491,32.6914752 39.9024577)",39.9027491,32.6919704,39.9024577,32.6914752,1,53.2408256954461,13577.3504662306
103,2389806679,288253817,80.8526727230623,trunk,89,"LINESTRING(32.6914752 39.9024577,32.6907202 39.9020181)",39.9024577,32.6914752,39.9020181,32.6907202,1,80.8575484967169,13630.5912919261
104,288253817,2389806685,159.213825965364,trunk,78,"LINESTRING(32.6907202 39.9020181,32.6892501 39.9011359)",39.9020181,32.6907202,39.9011359,32.6892501,1,159.223427263032,13711.4488404228
105,2389806685,2358235514,26.9993982777928,trunk,92,"LINESTRING(32.6892501 39.9011359,32.6890008 39.9009863)",39.9011359,32.6892501,39.9009863,32.6890008,1,27.0010264608866,13870.6722676858
106,2358235514,3557134026,75.5430444934624,trunk,85,"LINESTRING(32.6890008 39.9009863,32.6883033 39.9005677)",39.9009863,32.6890008,39.9005677,32.6883033,1,75.5476000730582,13897.6732941467
107,3557134026,2389806669,106.367203077722,trunk,78,"LINESTRING(32.6883033 39.9005677,32.6873212 39.8999783)",39.9005677,32.6883033,39.8999783,32.6873212,1,106.373617490369,13973.2208942198
108,2389806669,3557134123,304.180770742377,trunk,79,"LINESTRING(32.6873212 39.8999783,32.6845387 39.8982676)",39.8999783,32.6873212,39.8982676,32.6845387,1,304.199114187785,14079.5945117101
109,3557134123,2486055393,72.5716630073134,trunk,77,"LINESTRING(32.6845387 39.8982676,32.683867 39.8978671)",39.8982676,32.6845387,39.8978671,32.683867,1,72.5760393994678,14383.7936258979
110,2486055393,2555602965,95.317800158749,trunk,85,"LINESTRING(32.683867 39.8978671,32.6830065 39.8973203)",39.8978671,32.683867,39.8973203,32.6830065,1,95.3235482435454,14456.3696652974
111,2555602965,2360960876,317.426589146413,trunk,90,"LINESTRING(32.6830065 39.8973203,32.6800966 39.8955412)",39.8973203,32.6830065,39.8955412,32.6800966,1,317.445731373237,14551.6932135409
112,2360960876,2360960899,153.738666056261,trunk,88,"LINESTRING(32.6800966 39.8955412,32.6786805 39.8946861)",39.8955412,32.6800966,39.8946861,32.6786805,1,153.747937177579,14869.1389449142
113,2360960899,2389806692,329.040535009791,trunk,88,"LINESTRING(32.6786805 39.8946861,32.6756453 39.8928603)",39.8946861,32.6786805,39.8928603,32.6756453,1,329.060377608902,15022.8868820917
114,2389806692,2455029362,100.198474364513,trunk,88,"LINESTRING(32.6756453 39.8928603,32.6747175 39.8923078)",39.8928603,32.6756453,39.8923078,32.6747175,1,100.204516775544,15351.9472597007
115,2455029362,3548377656,453.279619153622,trunk,70,"LINESTRING(32.6747175 39.8923078,32.6705721 39.8897581)",39.8923078,32.6747175,39.8897581,32.6705721,1,453.306953918829,15452.1517764762
116,3548377656,4813712988,61.0831635027956,trunk,64,"LINESTRING(32.6705721 39.8897581,32.670032 39.8893975)",39.8897581,32.6705721,39.8893975,32.670032,1,61.0868470876335,15905.458730395
117,4813712988,112102295,502.588378627035,trunk,69,"LINESTRING(32.670032 39.8893975,32.665617 39.8864053)",39.8893975,32.670032,39.8864053,32.665617,1,502.618686928457,15966.5455774827
118,112102295,29474289,13.2068964980286,trunk,58,"LINESTRING(32.665617 39.8864053,32.6655013 39.8863264)",39.8864053,32.665617,39.8863264,32.6655013,1,13.2076929322816,16469.1642644111
119,29474289,2360960881,819.115782621401,trunk,49,"LINESTRING(32.6655013 39.8863264,32.6584094 39.8813615)",39.8863264,32.6655013,39.8813615,32.6584094,1,819.165178924806,16482.3719573434
120,2360960881,27046672,41.8169819006543,trunk,45,"LINESTRING(32.6584094 39.8813615,32.6580498 39.881106)",39.8813615,32.6584094,39.881106,32.6580498,1,41.8195036495563,17301.5371362682
121,27046672,2360960874,9.87521867745173,trunk,37,"LINESTRING(32.6580498 39.881106,32.657964 39.8810464)",39.881106,32.6580498,39.8810464,32.657964,1,9.87581419680118,17343.3566399178
122,2360960874,449553811,38.5631651982011,trunk,32,"LINESTRING(32.657964 39.8810464,32.6576289 39.8808137)",39.8810464,32.657964,39.8808137,32.6576289,1,38.5654907275693,17353.2324541146
123,449553811,2360960900,40.9949856635095,trunk,43,"LINESTRING(32.6576289 39.8808137,32.6572727 39.8805663)",39.8808137,32.6576289,39.8805663,32.6572727,1,40.997457842404,17391.7979448421
124,2360960900,493137194,222.769739583421,trunk,20,"LINESTRING(32.6572727 39.8805663,32.655337 39.879222)",39.8805663,32.6572727,39.879222,32.655337,1,222.783173583693,17432.7954026845
125,493137194,2189335636,6.62878216322816,trunk,61,"LINESTRING(32.655337 39.879222,32.6552794 39.879182)",39.879222,32.655337,39.879182,32.6552794,1,6.6291819081017,17655.5785762682
126,2189335636,2342959180,140.998871457596,trunk,49,"LINESTRING(32.6552794 39.879182,32.6540543 39.8783311)",39.879182,32.6552794,39.8783311,32.6540543,1,141.007374312971,17662.2077581763
127,2342959180,2342959159,104.431888166254,trunk,61,"LINESTRING(32.6540543 39.8783311,32.6531469 39.8777009)",39.8783311,32.6540543,39.8777009,32.6531469,1,104.438185870855,17803.2151324893
128,2342959159,2189335624,60.9981426360266,trunk,62,"LINESTRING(32.6531469 39.8777009,32.6526169 39.8773328)",39.8777009,32.6531469,39.8773328,32.6526169,1,61.0018210937303,17907.6533183602
129,2189335624,2189335621,85.6734091774808,trunk,61,"LINESTRING(32.6526169 39.8773328,32.6518725 39.8768158)",39.8773328,32.6526169,39.8768158,32.6518725,1,85.6785756628585,17968.6551394539
